2014-04-14,vida_hoje,sexo,MAS,Muito satisfeito,"9.7""",
2014-04-14,vida_hoje,sexo,MAS,Satisfeito,"71.3""",
2014-04-14,vida_hoje,sexo,MAS,Insatisfeito,"17.1""",
2014-04-14,vida_hoje,sexo,MAS,Muito insatisfeito,"1.6""",
2014-04-14,vida_hoje,sexo,MAS,Não sabe/ Não respondeu,"0.3""",
2014-04-14,vida_hoje,sexo,FEM,Muito satisfeito,"7.6""",
2014-04-14,vida_hoje,sexo,FEM,Satisfeito,"69.1""",
2014-04-14,vida_hoje,sexo,FEM,Insatisfeito,"21""",
2014-04-14,vida_hoje,sexo,FEM,Muito insatisfeito,"1.5""",
2014-04-14,vida_hoje,sexo,FEM,Não sabe/ Não respondeu,"0.8""",
2014-04-14,interesse_eleicoes,sexo,MAS,Muito interesse,"16.5""",
2014-04-14,interesse_eleicoes,sexo,MAS,Interesse médio,"27.2""",
2014-04-14,interesse_eleicoes,sexo,MAS,Pouco interesse,"29.3""",
2014-04-14,interesse_eleicoes,sexo,MAS,Nenhum interesse nas eleições que ocorrerão em outubro,"25.9""",
2014-04-14,interesse_eleicoes,sexo,MAS,Não sabe/ Não respondeu,"1.1""",
2014-04-14,interesse_eleicoes,sexo,FEM,Muito interesse,"12.9""",
2014-04-14,interesse_eleicoes,sexo,FEM,Interesse médio,"29.2""",
2014-04-14,interesse_eleicoes,sexo,FEM,Pouco interesse,"28.3""",
2014-04-14,interesse_eleicoes,sexo,FEM,Nenhum interesse nas eleições que ocorrerão em outubro,"28.1""",
2014-04-14,interesse_eleicoes,sexo,FEM,Não sabe/ Não respondeu,"1.5""",
2014-04-14,intencao_espontanea,sexo,MAS,Aécio Neves,"9""",
2014-04-14,intencao_espontanea,sexo,MAS,Denise Abreu,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Dilma Rousseff,"23.5""",
2014-04-14,intencao_espontanea,sexo,MAS,Eduardo Campos,"2.3""",
2014-04-14,intencao_espontanea,sexo,MAS,Eymael,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,José Serra,"1.2""",
2014-04-14,intencao_espontanea,sexo,MAS,Levy Fidélix,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Lula,"7.3""",
2014-04-14,intencao_espontanea,sexo,MAS,Marina Silva,"3.5""",
2014-04-14,intencao_espontanea,sexo,MAS,Mauro Iasi,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Pastor Everaldo,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Randolfe Rodrigues,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Eduardo Jorge,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Luiz Marinho,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Joaquim Barbosa,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Marcelo Crivella,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Paulo Skaf,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Marta Suplicy,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Plínio de Arruda Sampaio,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Fernando Henrique Cardoso,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Geraldo Alckmin,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Fernando Collor de Mello,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Hilário Golei,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Ciro Gomes,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Heitor Ferreira,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Washington Reis,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Paulo Maluf,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Silvio Santos,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,José Sarney,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,José Genoino Barbosa,"0""",
2014-04-14,intencao_espontanea,sexo,MAS,Wilson Risolia,"0""",
